run,family,family_label,model,task,recipe,method,method_display,lr,seed,cell,withheld,quarantined,on_pool,fdelta,log10_fdelta,fro_total,log10_fro_total,spec_max,log10_spec_max,spec_mean,dw_sv_max,log10_dw_sv_max,dw_sv_mean,retention_mean
frc_lora_null_lr1e3_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.001,42.0,frc_lora_null_lr1e3_c256,False,True,True,7.6799,0.8853555651186297,3169.157046499148,3.500943761038843,365.570556640625,2.562971210028334,78.7350642979145,365.5778,2.562979814987857,78.7292,2.48
frc_lora_null_lr1e3_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.001,43.0,frc_lora_null_lr1e3_c256,False,True,True,8.021,0.9042285163400784,3307.151671653331,3.519454112860972,430.4627075195313,2.633935532978946,82.19773961901664,430.3956,2.633867822822161,82.1931,1.38
frc_lora_null_lr1e3_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.001,44.0,frc_lora_null_lr1e3_c256,False,True,True,6.565,0.8172347304254982,2928.266669341626,3.466610624213544,358.45098876953125,2.554429782703807,72.10327830910683,358.459,2.554439488896329,72.0998,1.08
frc_lora_null_lr1e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0001,42.0,frc_lora_null_lr1e4_c256,False,False,True,0.3105,-0.507938395487401,218.10898896691563,2.338673564607967,13.578371047973633,1.1328476722044576,5.94238872230053,13.5754,1.1327526349631634,5.9409,24.08
frc_lora_null_lr1e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0001,43.0,frc_lora_null_lr1e4_c256,False,False,True,0.3151,-0.5015515968260004,217.9553545812934,2.338367542940962,13.717183113098145,1.1372649361491456,5.929455570876598,13.7126,1.1371198077142048,5.9282,24.39
frc_lora_null_lr1e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0001,44.0,frc_lora_null_lr1e4_c256,False,False,True,0.31,-0.5086383061657274,218.3103437291595,2.339074313437366,13.47633934020996,1.1295719381747098,5.925748305022717,13.475,1.1295287738587765,5.9243,25.71
frc_lora_null_lr1e4_c256_s45,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0001,45.0,frc_lora_null_lr1e4_c256,False,False,True,0.3141,-0.5029320636014952,218.1075771543264,2.3386707534244198,13.823171615600586,1.140607699848856,5.893907633423805,13.8215,1.14055517808682,5.8925,25.76
frc_lora_null_lr2e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0002,42.0,frc_lora_null_lr2e4_c256,False,False,True,0.534,-0.2724587429714435,439.745320907304,2.6432012270608247,27.38395118713379,1.437496111985162,10.634160193800929,27.3841,1.43749847206938,10.6335,23.33
frc_lora_null_lr2e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0002,43.0,frc_lora_null_lr2e4_c256,False,False,True,0.5343,-0.272214825817094,440.0752014076673,2.6435268964083227,29.14997100830078,1.4646381271587978,10.681008699536324,29.1502,1.4646415388068137,10.6804,23.29
frc_lora_null_lr2e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0002,44.0,frc_lora_null_lr2e4_c256,False,False,True,0.5367,-0.2702684047129646,440.2899614336189,2.643738783702348,33.233795166015625,1.5215799387973652,10.71756715476513,33.2341,1.5215839223060044,10.7168,23.34
frc_lora_null_lr2e4_c256_s45,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0002,45.0,frc_lora_null_lr2e4_c256,False,False,True,0.539,-0.2684112348132613,440.2922424758029,2.643741033677488,33.67414474487305,1.527296574334176,10.703375166654586,33.6749,1.5273063147287227,10.7027,22.9
frc_lora_null_lr2e4_c256_s46,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0002,46.0,frc_lora_null_lr2e4_c256,False,False,True,0.535,-0.2716462179787715,441.1094109829188,2.644546323464989,37.30709457397461,1.5717914280914007,10.796989580988884,37.3063,1.5717821783020132,10.7963,22.78
frc_lora_null_lr2e5_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,2e-05,42.0,frc_lora_null_lr2e5_c256,False,False,True,0.1596,-0.7969671129852894,49.15025726430451,1.6915257953761995,4.026056289672852,0.6048798426150825,1.8069592777639627,4.0258,0.6048521955268282,1.8068,26.52
frc_lora_null_lr2e5_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,2e-05,43.0,frc_lora_null_lr2e5_c256,False,False,True,0.1581,-0.801068130067791,49.03082085671131,1.690469164112097,4.089919090270996,0.6117147165656779,1.808024574816227,4.0893,0.6116489725170005,1.8078,26.0
frc_lora_null_lr3e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0003,42.0,frc_lora_null_lr3e4_c256,False,False,True,0.7731,-0.1117643267294328,658.713366184307,2.8186964759528146,86.56841278076172,1.9373594548642223,14.994580048322678,86.5699,1.9373669158484288,14.9932,18.66
frc_lora_null_lr3e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0003,43.0,frc_lora_null_lr3e4_c256,False,False,True,0.761,-0.1186153432294271,657.5298500658882,2.817915473396984,81.8141098022461,1.912828209304814,14.95482037961483,81.8124,1.912819133053276,14.9535,20.74
frc_lora_null_lr3e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0003,44.0,frc_lora_null_lr3e4_c256,False,False,True,0.781,-0.1073489661226996,658.3770272003364,2.818474668598215,77.95926666259766,1.8918677451982115,15.024038380384445,77.9604,1.8918740587337717,15.0227,18.32
frc_lora_null_lr3e4_c256_s45,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0003,45.0,frc_lora_null_lr3e4_c256,False,False,True,0.7717,-0.1125514997500462,653.8094259935509,2.8154511775283457,54.734283447265625,1.73825943690036,14.738915112614633,54.7348,1.7382635355188027,14.7376,18.09
frc_lora_null_lr5e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0005,42.0,frc_lora_null_lr5e4_c256,False,False,True,1.2055,0.0811672147134724,1036.1546520182694,3.0154245811867777,159.5753631591797,2.202965841463731,21.75497716665268,159.5775,2.2029716569727493,21.7528,16.43
frc_lora_null_lr5e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0005,43.0,frc_lora_null_lr5e4_c256,False,False,True,1.1827,0.0728745968109887,1030.821215063976,3.0131833480728973,122.3624267578125,2.0876480815610536,21.341022855043413,122.3641,2.0876540202703437,21.339,17.47
frc_lora_null_lr5e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0005,44.0,frc_lora_null_lr5e4_c256,False,False,True,1.24,0.093421685162235,1039.7788760640192,3.016940990148897,163.17445373535156,2.212652167468093,21.835943120718003,163.1784,2.2126626704616563,21.8336,16.81
frc_lora_null_lr5e4_c256_s45,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0005,45.0,frc_lora_null_lr5e4_c256,False,False,True,1.2324,0.090751689644903,1033.3646232127935,3.014253589581951,138.81964111328125,2.142450917297841,21.549767047166824,138.8193,2.1424498501304248,21.5477,17.32
