run,family,family_label,model,task,recipe,method,method_display,lr,seed,cell,withheld,quarantined,on_pool,retention_mean,retention_broad,adapt,bbh,mmlu_pro,mmlu,arc_c,truthfulqa,fdelta,log10_fdelta
frc_lora_null_lr2e5_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,2e-05,42.0,frc_lora_null_lr2e5_c256,False,False,True,26.52,36.47,57.71,34.65,18.38,46.7,46.42,36.19,0.1596,-0.7969671129852894
frc_lora_null_lr2e5_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,2e-05,43.0,frc_lora_null_lr2e5_c256,False,False,True,26.0,36.21,70.6,33.6,18.39,46.52,46.33,36.23,0.1581,-0.801068130067791
frc_lora_null_lr3e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0003,42.0,frc_lora_null_lr3e4_c256,False,False,True,18.66,26.55,78.65,28.63,8.69,24.68,36.77,33.97,0.7731,-0.1117643267294328
frc_lora_null_lr3e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0003,43.0,frc_lora_null_lr3e4_c256,False,False,True,20.74,28.25,78.31,29.26,12.23,30.22,36.35,33.19,0.761,-0.1186153432294271
frc_lora_null_lr3e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0003,44.0,frc_lora_null_lr3e4_c256,False,False,True,18.32,27.03,78.18,28.41,8.23,25.56,38.99,33.95,0.781,-0.1073489661226996
frc_lora_null_lr3e4_c256_s45,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0003,45.0,frc_lora_null_lr3e4_c256,False,False,True,18.09,26.53,78.23,29.07,7.11,27.94,36.43,32.1,0.7717,-0.1125514997500462
frc_lora_null_lr5e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0005,42.0,frc_lora_null_lr5e4_c256,False,False,True,16.43,24.18,71.16,26.0,6.86,23.76,32.34,31.96,1.2055,0.0811672147134724
frc_lora_null_lr5e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0005,43.0,frc_lora_null_lr5e4_c256,False,False,True,17.47,24.51,72.97,27.28,7.66,23.55,32.0,32.04,1.1827,0.0728745968109887
frc_lora_null_lr5e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0005,44.0,frc_lora_null_lr5e4_c256,False,False,True,16.81,24.58,72.25,26.23,7.39,23.18,33.7,32.41,1.24,0.093421685162235
frc_lora_null_lr5e4_c256_s45,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0005,45.0,frc_lora_null_lr5e4_c256,False,False,True,17.32,24.78,72.99,27.37,7.26,22.95,33.53,32.8,1.2324,0.090751689644903
