run,family,family_label,model,task,recipe,method,method_display,lr,seed,cell,withheld,quarantined,on_pool,stable_rank_w,eff_rank_w,e_top_w,e_bot_w,amp_top_w,log10_fdelta,retention_mean
frc_lora_null_lr2e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0002,44.0,frc_lora_null_lr2e4_c256,False,False,True,10.92091518680328,30.34963967927589,0.102711122941069,0.0418105318577986,0.0956295987181989,-0.2702684047129646,23.34
frc_lora_null_lr2e4_c256_s45,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0002,45.0,frc_lora_null_lr2e4_c256,False,False,True,10.947167513812849,30.30970098263749,0.1025335318942229,0.0418180761566004,0.0955997192703068,-0.2684112348132613,22.9
frc_lora_null_lr2e4_c256_s46,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0002,46.0,frc_lora_null_lr2e4_c256,False,False,True,10.888948491480836,30.264430459935355,0.103508482998691,0.0418098045031292,0.0957088099430742,-0.2716462179787715,22.78
frc_lora_null_lr2e5_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,2e-05,42.0,frc_lora_null_lr2e5_c256,False,False,True,5.265895980624553,25.465645257489125,0.1421457601702802,0.0384162940122978,0.1304192945753206,-0.7969671129852894,26.52
frc_lora_null_lr2e5_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,2e-05,43.0,frc_lora_null_lr2e5_c256,False,False,True,5.225184903287179,25.380666129743883,0.1419584531301483,0.0383657053521142,0.1304904188255957,-0.801068130067791,26.0
frc_lora_null_lr3e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0003,42.0,frc_lora_null_lr3e4_c256,False,False,True,13.109176270250057,30.25507838668837,0.0943165813850123,0.0426627403460249,0.0887249310885981,-0.1117643267294328,18.66
frc_lora_null_lr3e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0003,43.0,frc_lora_null_lr3e4_c256,False,False,True,13.096345562056168,30.29645702164306,0.0939171138053865,0.0426697620969603,0.0885304487702722,-0.1186153432294271,20.74
frc_lora_null_lr3e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0003,44.0,frc_lora_null_lr3e4_c256,False,False,True,13.008808526733327,30.21675411123966,0.0943391268104251,0.0426373421563137,0.0897012872282478,-0.1073489661226996,18.32
frc_lora_null_lr3e4_c256_s45,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0003,45.0,frc_lora_null_lr3e4_c256,False,False,True,13.117555224278144,30.356678110389986,0.0924768001913185,0.0428023321162831,0.0885941612214089,-0.1125514997500462,18.09
frc_lora_null_lr5e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lora_null,LoRA-Null,0.0005,42.0,frc_lora_null_lr5e4_c256,False,False,True,16.256593855388637,30.552332108639213,0.0866696092836792,0.0439881957730383,0.0833028276669589,0.0811672147134724,16.43
