run,family,family_label,model,task,recipe,method,method_display,lr,seed,cell,withheld,quarantined,on_pool,forgetting_ce,base_entropy,forgetting_kl,log10_fdelta,retention_mean
frc_lorawd_wd0_lr1e4_c256_s45,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lorawd,LoRA+wd,0.0001,45.0,frc_lorawd_wd0_lr1e4_c256,False,False,True,1.990976227772872,1.810069211692996,0.1809070160798764,-0.5249101966109935,26.38
frc_lorawd_wd0_lr2e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lorawd,LoRA+wd,0.0002,42.0,frc_lorawd_wd0_lr2e4_c256,False,False,True,2.236917664131768,1.8520239240816387,0.3848937400501291,-0.2965366581167069,24.36
frc_lorawd_wd0_lr2e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lorawd,LoRA+wd,0.0002,43.0,frc_lorawd_wd0_lr2e4_c256,False,False,True,2.193158873054497,1.810069211692996,0.3830896613615018,-0.2903908789273513,24.51
frc_lorawd_wd0_lr2e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lorawd,LoRA+wd,0.0002,44.0,frc_lorawd_wd0_lr2e4_c256,False,False,True,2.1966545445333288,1.810069211692996,0.386585332840333,-0.2893749849392031,24.96
frc_lorawd_wd0_lr2e4_c256_s45,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lorawd,LoRA+wd,0.0002,45.0,frc_lorawd_wd0_lr2e4_c256,False,False,True,2.2027117259379008,1.810069211692996,0.392642514244905,-0.2866774950129723,23.55
frc_lorawd_wd0_lr2e5_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lorawd,LoRA+wd,2e-05,42.0,frc_lorawd_wd0_lr2e5_c256,False,False,True,2.113616865244536,1.8520239240816387,0.2615929411628972,-0.6569855028492324,26.38
frc_lorawd_wd0_lr2e5_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lorawd,LoRA+wd,2e-05,43.0,frc_lorawd_wd0_lr2e5_c256,False,False,True,2.121555224478953,1.8520239240816387,0.2695313003973143,-0.6499459064209697,26.9
frc_lorawd_wd0_lr2e5_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lorawd,LoRA+wd,2e-05,44.0,frc_lorawd_wd0_lr2e5_c256,False,False,True,2.0812225223869985,1.810069211692996,0.2711533106940027,-0.6522797829659618,26.52
frc_lorawd_wd0_lr3e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lorawd,LoRA+wd,0.0003,42.0,frc_lorawd_wd0_lr3e4_c256,False,False,True,2.4585228699832142,1.8520239240816387,0.6064989459015755,-0.1267956907229593,21.1
frc_lorawd_wd0_lr3e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lorawd,LoRA+wd,0.0003,43.0,frc_lorawd_wd0_lr3e4_c256,False,False,True,2.4702164051272906,1.810069211692996,0.6601471934342948,-0.1311792938024826,23.46
frc_lorawd_wd0_lr3e4_c256_s44,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lorawd,LoRA+wd,0.0003,44.0,frc_lorawd_wd0_lr3e4_c256,False,False,True,2.4541965042712923,1.810069211692996,0.6441272925782966,-0.1191864077192086,22.62
frc_lorawd_wd0_lr3e4_c256_s45,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lorawd,LoRA+wd,0.0003,45.0,frc_lorawd_wd0_lr3e4_c256,False,False,True,2.412833142318176,1.810069211692996,0.6027639306251802,-0.1376300628771175,21.91
frc_lorawd_wd0_lr5e4_c256_s42,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lorawd,LoRA+wd,0.0005,42.0,frc_lorawd_wd0_lr5e4_c256,False,False,True,2.895038447978181,1.8520239240816387,1.0430145238965425,0.0579322273806086,17.46
frc_lorawd_wd0_lr5e4_c256_s43,frc,Llama-CS grid (frc),Llama-2-7B,cs,faithful-CLoRA grid,lorawd,LoRA+wd,0.0005,43.0,frc_lorawd_wd0_lr5e4_c256,False,False,True,2.8223460397372397,1.810069211692996,1.0122768280442436,0.0622810699726438,17.51
