source_file,base_model,adapter_type,lr,rank,tr_from_name,tr_actual,accuracy,negative_shift_count,negative_shift_score,positive_shift_count,positive_shift_score,raw_adapter_name
google_gemma-3-12b-it_scores-uiortholora.jsonl,gemma-3-12b-it,uiortholora,1e-3,,4000,4000,0.041575,41125,40996.5,3,2.7,google_gemma-3-12b-it_uiortholora_tr4000_uiortholora_s256_v64_lr1e-3
google_gemma-3-12b-it_scores-uiortholora.jsonl,gemma-3-12b-it,uiortholora,1e-4,,4000,4000,0.17065000000000002,925,908.3000000000001,117,105.30000000000005,google_gemma-3-12b-it_uiortholora_tr4000_uiortholora_s256_v64_lr1e-4
google_gemma-3-12b-it_scores-uiortholora.jsonl,gemma-3-12b-it,uiortholora,1e-5,,4000,4000,0.020375,19,18.199999999999996,39,35.099999999999994,google_gemma-3-12b-it_uiortholora_tr4000_uiortholora_s256_v64_lr1e-5
google_gemma-3-12b-it_scores-uiortholora.jsonl,gemma-3-12b-it,uiortholora,1e-3,,5000,5000,0.03166,42021,41913.0,3,2.7,google_gemma-3-12b-it_uiortholora_tr5000_uiortholora_s256_v64_lr1e-3
google_gemma-3-12b-it_scores-uiortholora.jsonl,gemma-3-12b-it,uiortholora,1e-4,,5000,5000,0.18168,1725,1696.7,108,97.20000000000005,google_gemma-3-12b-it_uiortholora_tr5000_uiortholora_s256_v64_lr1e-4
google_gemma-3-12b-it_scores-uiortholora.jsonl,gemma-3-12b-it,uiortholora,1e-5,,5000,5000,0.02416,33,31.699999999999996,47,42.29999999999999,google_gemma-3-12b-it_uiortholora_tr5000_uiortholora_s256_v64_lr1e-5
google_gemma-3-12b-it_scores-vera.jsonl,gemma-3-12b-it,vera,1e-4,1024.0,100,100,0.01,1,0.9,0,0.0,google_gemma-3-12b-it_vera_tr100_vera_r1024_lr1e-4
google_gemma-3-12b-it_scores-vera.jsonl,gemma-3-12b-it,vera,1e-5,1024.0,100,100,0.004,3,2.8,0,0.0,google_gemma-3-12b-it_vera_tr100_vera_r1024_lr1e-5
google_gemma-3-12b-it_scores-vera.jsonl,gemma-3-12b-it,vera,1e-3,1024.0,100,361,0.089196675900277,147,143.3,71,63.9,google_gemma-3-12b-it_vera_tr100_vera_r1024_lr1e-3
google_gemma-3-12b-it_scores-vera.jsonl,gemma-3-12b-it,vera,1e-4,1024.0,500,500,0.0316,28,27.099999999999998,40,36.0,google_gemma-3-12b-it_vera_tr500_vera_r1024_lr1e-4
google_gemma-3-12b-it_scores-vera.jsonl,gemma-3-12b-it,vera,1e-5,1024.0,500,500,0.0008,2,1.8,0,0.0,google_gemma-3-12b-it_vera_tr500_vera_r1024_lr1e-5
google_gemma-3-12b-it_scores-vera.jsonl,gemma-3-12b-it,vera,1e-4,1024.0,1000,1000,0.078,169,164.7,80,72.00000000000001,google_gemma-3-12b-it_vera_tr1000_vera_r1024_lr1e-4
google_gemma-3-12b-it_scores-vera.jsonl,gemma-3-12b-it,vera,1e-5,1024.0,1000,1000,0.0045,4,3.6,3,2.7,google_gemma-3-12b-it_vera_tr1000_vera_r1024_lr1e-5
google_gemma-3-12b-it_scores-vera.jsonl,gemma-3-12b-it,vera,1e-3,1024.0,500,1496,0.24398395721925134,2931,2899.2000000000003,81,72.90000000000002,google_gemma-3-12b-it_vera_tr500_vera_r1024_lr1e-3
google_gemma-3-12b-it_scores-vera.jsonl,gemma-3-12b-it,vera,1e-3,1024.0,1000,1644,0.25754257907542577,6467,6398.3,56,50.400000000000006,google_gemma-3-12b-it_vera_tr1000_vera_r1024_lr1e-3
google_gemma-3-12b-it_scores-vera.jsonl,gemma-3-12b-it,vera,1e-4,1024.0,2000,2000,0.1657,515,504.6,90,81.00000000000003,google_gemma-3-12b-it_vera_tr2000_vera_r1024_lr1e-4
google_gemma-3-12b-it_scores-vera.jsonl,gemma-3-12b-it,vera,1e-5,1024.0,2000,2000,0.0076500000000000005,3,2.9,6,5.4,google_gemma-3-12b-it_vera_tr2000_vera_r1024_lr1e-5
google_gemma-3-12b-it_scores-vera.jsonl,gemma-3-12b-it,vera,1e-3,1024.0,3000,3000,0.05576666666666667,26789,26688.1,5,4.5,google_gemma-3-12b-it_vera_tr3000_vera_r1024_lr1e-3
google_gemma-3-12b-it_scores-vera.jsonl,gemma-3-12b-it,vera,1e-4,1024.0,3000,3000,0.1978,2084,2057.4000000000005,81,72.90000000000002,google_gemma-3-12b-it_vera_tr3000_vera_r1024_lr1e-4
google_gemma-3-12b-it_scores-vera.jsonl,gemma-3-12b-it,vera,1e-5,1024.0,3000,3000,0.013966666666666669,10,9.6,19,17.099999999999998,google_gemma-3-12b-it_vera_tr3000_vera_r1024_lr1e-5
google_gemma-3-12b-it_scores-vera.jsonl,gemma-3-12b-it,vera,1e-3,1024.0,2000,3280,0.13064024390243903,19083,18927.199999999997,24,21.6,google_gemma-3-12b-it_vera_tr2000_vera_r1024_lr1e-3
google_gemma-3-12b-it_scores-vera.jsonl,gemma-3-12b-it,vera,1e-3,1024.0,4000,4000,0.024125,29167,29116.5,2,1.8,google_gemma-3-12b-it_vera_tr4000_vera_r1024_lr1e-3
google_gemma-3-12b-it_scores-vera.jsonl,gemma-3-12b-it,vera,1e-4,1024.0,4000,4000,0.22677499999999998,2726,2695.6,79,71.10000000000005,google_gemma-3-12b-it_vera_tr4000_vera_r1024_lr1e-4
google_gemma-3-12b-it_scores-vera.jsonl,gemma-3-12b-it,vera,1e-5,1024.0,4000,4000,0.02485,15,14.5,34,30.599999999999998,google_gemma-3-12b-it_vera_tr4000_vera_r1024_lr1e-5
google_gemma-3-12b-it_scores-vera.jsonl,gemma-3-12b-it,vera,1e-3,1024.0,5000,5000,0.02634,29042,28980.2,1,0.9,google_gemma-3-12b-it_vera_tr5000_vera_r1024_lr1e-3
google_gemma-3-12b-it_scores-vera.jsonl,gemma-3-12b-it,vera,1e-4,1024.0,5000,5000,0.23951999999999998,3029,2994.5,79,71.10000000000005,google_gemma-3-12b-it_vera_tr5000_vera_r1024_lr1e-4
google_gemma-3-12b-it_scores-vera.jsonl,gemma-3-12b-it,vera,1e-5,1024.0,5000,5000,0.033280000000000004,36,34.699999999999996,39,35.099999999999994,google_gemma-3-12b-it_vera_tr5000_vera_r1024_lr1e-5
