rn,fam,seed,cell,method,fd,logfd,ret,ret_broad,adapt,adapt_task,bbh,mmlu_pro,mmlu,arc_c,truthfulqa,dw_sv_max,dw_sv_mean,lr,wd,clora_k,rank,quarantined,straggler,in_family,cs_boolq,cs_piqa,cs_social_i_qa,cs_hellaswag,cs_winogrande,cs_ARC_Easy,cs_ARC_Challenge,cs_openbookqa,forgetting_ce,base_entropy,forgetting_kl,fro_total,spec_max,spec_mean,stable_rank_w,eff_rank_w,e_top_w,e_bot_w,ein_top_w,ein_bot_w,amp_top_w
mtx_lora_r16_s42,mtx,42.0,mtx_lora_r16,lora,0.6047,-0.21846003139405826,23.98,31.4,80.16,cs,32.15,15.82,38.71,38.14,32.16,47.2937,17.1568,,,,16.0,False,False,False,71.5,83.3,79.22,88.79,82.72,83.54,69.62,82.6,2.259136931058008,1.8520239240816387,0.4071130069763691,470.46924169194097,47.34553146362305,17.169689255952836,4.747608097597569,11.548314701378736,0.06794087737583651,0.046289868037506225,0.07256327399146997,0.049211456487282576,0.06583764314767984
lrsw_clora_k1024_lr3e4_s44,lrsw,44.0,lrsw_clora_k1024_lr3e4,clora,0.4471,-0.3495953301319682,24.09,32.75,79.66,cs,32.08,16.1,43.65,37.12,34.8,20.8425,9.8652,0.00030000000000000003,,1024.0,,False,False,True,72.05,81.83,78.71,89.16,82.4,82.37,68.94,81.8,2.2469523964633877,1.8100692116929957,0.436883184770392,370.36942384193037,20.85467529296875,9.868320666253567,7.525760473360544,22.12640753243382,0.0586863303294438,0.04736129128032258,0.06376117647966235,0.048879694916226867,0.05667367577111732
frc_lorawd_wd0p1_lr1e4_c256_s45,frc,45.0,frc_lorawd_wd0p1_lr1e4_c256,lorawd,0.2719,-0.5655907924124999,27.11,36.06,48.8,cs,34.76,19.46,46.99,42.32,36.79,20.2047,7.0738,0.0001,0.1,,,False,False,True,69.14,51.14,29.27,73.21,82.32,29.25,27.9,28.2,1.9596121426329018,1.8100692116929957,0.14954293093990612,160.44509861663886,20.23940658569336,7.075698518753052,3.167620139798888,11.078987852995539,0.07079223673031212,0.049375884756679866,0.08682353821650131,0.05015292788282374,0.07073354017751625
lora_wd1p0_full,lora,,lora_wd1p0_full,wd1p0,0.1666,-0.7783250029292312,27.74,,81.57,,34.96,20.51,,,,9.7217,2.7459,,1.0,,,False,False,False,73.06,83.68,79.32,90.58,85.0,86.07,70.82,84.0,,,,,,,,,,,,,
lrsw_lorawd_wd0p3_lr2e3_s44,lrsw,44.0,lrsw_lorawd_wd0p3_lr2e3,lorawd,87.484,1.941928631912614,0.0,20.08,0.0,cs,0.0,0.0,22.95,27.13,50.34,4262.2129,121.8668,0.002,0.3,,,True,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.34002086021009,1.8100692116929957,8.529951648517095,6427.941153480128,4262.30615234375,121.98770715668797,1.017021454028063,1.0503753756997458,0.05954200237399213,0.05821086116185663,0.10019922350998249,0.052913088280657786,0.0715314486123107
qwsw_dora_r16_lr5e4_s42,qwsw,42.0,qwsw_dora_r16_lr5e4,dora,0.5724,-0.24230037491226122,13.18,31.89,84.16,cs,15.76,10.59,57.4,37.29,38.42,37.9809,15.0939,0.0005,,,16.0,False,False,True,70.83,86.72,78.71,92.38,84.69,91.75,81.23,87.0,,,,613.4257444601539,38.066104888916016,15.096892773253577,8.947767989799205,14.740433637556299,0.11071717266951944,0.09831996540041678,0.06398985148611441,0.047154550873071084,0.06938063816211715
mtx_dora_r8_s42,mtx,42.0,mtx_dora_r8,dora,0.5276,-0.27769521312567236,23.7,33.14,63.07,cs,31.78,15.62,40.68,41.21,36.42,45.0023,16.8696,,,,8.0,False,False,False,63.55,50.33,35.77,55.71,78.45,81.57,63.57,75.6,2.14203983578845,1.8520239240816387,0.2900159117068113,378.8293551888074,45.06159591674805,16.873610174655916,3.0937575582047945,6.131232817138069,0.06808154389848238,0.04622721207745614,0.07485646043653629,0.049029515703393,0.06663816930873284
lrswm_milora_r32_lr1e4_s42,lrswm,42.0,lrswm_milora_r32_lr1e4,milora,0.2644,-0.5777385491863973,25.66,33.48,42.08,gsm8k,33.25,18.06,27.58,44.8,43.73,9.2693,4.8605,0.0001,,,32.0,False,False,True,,,,,,,,,2.1422739594761966,1.8520239240816387,0.29025003539455785,102.58042507648764,9.269407272338867,4.861544699966908,3.7574016733743374,12.219418068833708,0.05997055167723759,0.1886268010659284,0.08547543132173319,0.15952191202238422,0.06603909989869211
lrswm_dora_r16_lr2e5_s44,lrswm,44.0,lrswm_dora_r16_lr2e5,dora,0.336,-0.4736607226101559,25.42,33.55,32.68,gsm8k,33.73,17.12,29.53,46.59,40.79,7.0258,2.083,2e-05,,,16.0,False,False,True,,,,,,,,,1.8763594162948192,1.8100692116929957,0.06629020460182344,33.182680499267846,7.0422163009643555,2.085045375674963,1.3067079734781148,2.355788320136356,0.05946687125582722,0.049695886538995086,0.1776497796106004,0.050290344289646766,0.08649877405756122
frc_clora_k128_lr3e4_c256_s43,frc,43.0,frc_clora_k128_lr3e4_c256,clora,0.6168,-0.2098556349570994,22.88,30.65,78.91,cs,31.09,14.66,37.04,36.69,33.77,28.7719,13.1514,0.00030000000000000003,,128.0,,False,False,True,71.56,82.81,78.51,87.45,82.56,82.62,65.19,80.6,2.4122848917806365,1.8520239240816387,0.5602609676989978,495.0759905431478,28.767335891723633,13.15238164961338,8.55526439630947,23.616135017848197,0.06321138754405234,0.045953857243561685,0.0671339043893509,0.049277219777166974,0.061324232269626265
